Region;Resourse;;
Adygey;2740;;
Altay;3593;;
Amur;64359;;
Arkhangel'sk;27140;;
Astrakhan';226961;;
Bashkortostan;233703;;
Belgorod;116588;;
Bryansk;277;;
Buryat;25331;;
Chechnya;5593;;
Chelyabinsk;63272;;
Chukot;65316;;
Chuvash;706;;
City of St. Petersburg;20017;;
Dagestan;4922;;
Gorno-Altay;4276;;
Ingush;1463;;
Irkutsk;455207;;
Ivanovo;755;;
Kabardin-Balkar;398;;
Kaliningrad;18260;;
Kalmyk;457;;
Kaluga;3672;;
Kamchatka;19729;;
Karachay-Cherkess;2751;;
Karelia;73729;;
Kemerovo;899156;;
Khabarovsk;78459;;
Khakass;52497;;
Khanty-Mansiy;2983368;;
Kirov;1107;;
Komi;314270;;
Kostroma;317;;
Krasnodar;53142;;
Krasnoyarsk;552416;;
Kurgan;3315;;
Kursk;67783;;
Leningrad;11402;;
Lipetsk;5765;;
Maga Buryatdan;112749;;
Mariy-El;656;;
Mordovia;77;;
Moscow City;1272415;;
Moskva;13870;;
Murmansk;107973;;
Nenets;267585;;
Nizhegorod;1168;;
North Ossetia;661;;
Novgorod;1593;;
Novosibirsk;50568;;
Omsk;3165;;
Orel;106;;
Orenburg;389692;;
Penza;890;;
Perm';294130;;
Primor'ye;19568;;
Pskov;1371;;
Rostov;29664;;
Ryazan';1781;;
Sakha;599620;;
Sakhalin;693852;;
Samara;273744;;
Saratov;30492;;
Smolensk;1454;;
Stavropol';10659;;
Sverdlovsk;66980;;
Tambov;145;;
Tatarstan;547515;;
Tomsk;179063;;
Tula;5548;;
Tuva;23347;;
Tver';755;;
Tyumen';626411;;
Udmurt;191064;;
Ul'yanovsk;7096;;
Vladimir;4004;;
Volgograd;47985;;
Vologda;632;;
Voronezh;6283;;
Yamal-Nenets;1911722;;
Yaroslavl';1172;;
Yevrey;7593;;
Zabaykal'ye;82184;;
